bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
32703,The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon/Steven Rimbauer/Ridley Pearson,3.67,0786890436,9780786890439,eng,277,7852,352,4/29/2001,Hyperion
14905,The Complete Novels,Jane Austen,4.55,0140259449,9780140259445,eng,1344,21633,351,6/17/1996,Penguin
26697,The Philosophy of Antonio Negri  Volume One: Resistance in Practice,Timothy S. Murphy/Abdul-Karim Mustapha,4.12,0745323375,9780745323374,eng,265,8,1,7/20/2005,Pluto Press
23707,Maison Ikkoku  Volume 5 (Maison Ikkoku  #5),Rumiko Takahashi,4.22,1591163196,9781591163190,en-US,208,300,5,6/2/2004,Viz Media
40451,Black Widow: The Things They Say About Her,Richard K. Morgan/Bill Sienkiewicz/Sean Phillips,3.47,0785117687,9780785117681,eng,144,302,33,6/7/2006,Marvel
32125,After the Mourning (Francis Hancock #2),Barbara Nadel,3.42,0755321383,9780755321384,eng,352,104,11,12/28/2006,Headline
42641,Resurrection,Leo Tolstoy/Louise Maude/Aylmer Maude,4.13,0735102864,9780735102866,eng,562,11468,530,2/1/2000,Replica Books
980,Deception Point,Dan Brown,3.71,0593055071,9780593055076,eng,448,61,4,8/1/2005,Bantam Press
35927,Smart Love,Martha Heineman Pieper/William J. Pieper,3.91,1558321829,9781558321823,eng,272,97,10,5/1/2001,Harvard Common Press
39398,The Chase (Deed  #3),Lynsay Sands,4.06,0843953241,9780843953244,eng,374,2098,68,12/1/2004,Leisure Books
19117,Fathers and Sons,Ivan Turgenev/George Reavy/Jane Costlow,3.96,0451529693,9780451529695,eng,244,49911,1127,2/1/2005,Signet Book
30626,Letters to Children,C.S. Lewis/Lyle Wesley Dorsett/Marjorie Lamp Mead/Douglas Gresham,4.19,0805420436,9780805420432,eng,128,1634,134,3/31/1999,B&H Publishing Group
39357,Bride & Groom (A Dog Lover's Mystery  #16),Susan Conant/Maxwell Award,3.78,0425200744,9780425200742,eng,262,263,19,1/4/2005,Berkley
12424,Safe Conduct: An Autobiography and Other Writings,Boris Pasternak/B. Deutsch,3.82,081120135X,9780811201353,eng,256,83,8,4/14/2009,New Directions
35329,The Body Remembers: The Psychophysiology of Trauma and Trauma Treatment,Babette Rothschild,4.27,0393703274,9780393703276,eng,208,1506,45,10/17/2000,W. W. Norton  Company
11705,Selected Poems,Octavio Paz/Eliot Weinberger/Charles Tomlinson/William Carlos Williams/Monique Fong Wust/G. Aroul/Elizabeth Bishop/Paul Blackburn/Lysander Kemp/Denise Levertov/Muriel Rukeyser/Mark Strand,4.21,0811208990,9780811208994,eng,160,373,18,9/17/1984,New Directions
24888,The Boy Who Couldn't Die,William Sleator,3.68,0810987902,9780810987906,eng,161,1683,247,4/1/2005,Harry N. Abrams
35289,The 33 Strategies of War,Robert Greene/Joost Elffers,4.3,0670034576,9780670034574,en-US,496,8005,383,1/19/2006,Viking
20179,A Higher Justice (The Trials of Kit Shannon #5),James Scott Bell,4.26,0764226460,9780764226465,eng,303,175,18,9/1/2003,Bethany House Publishers
9073,See No Evil: The True Story of a Ground Soldier in the CIA's War on Terrorism,Robert B. Baer,3.93,140004684X,9781400046843,eng,320,4040,259,1/7/2003,Broadway Books
31763,Zur Genealogie der Moral,Friedrich Nietzsche,4.11,3150071232,9783150071236,ger,187,103,4,1/31/1998,Reclam
11130,The Chronicles of Narnia CD Box Set,C.S. Lewis/Kenneth Branagh,4.26,0694524751,9780694524754,eng,31,202,24,10/26/2004,HarperFestival
41851,Rock Star Superstar,Blake Nelson,3.61,0142405744,9780142405741,en-US,229,310,34,4/6/2006,Speak
4966,The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate the Major Developmental Milestones,Tanya Remer Altmann/American Academy of Pediatrics,3.51,0553804766,9780553804768,en-US,224,55,9,9/26/2006,Bantam Books
6422,Four to Score (Stephanie Plum  #4),Janet Evanovich,4.17,0312966970,9780312966973,eng,313,117541,2502,6/15/1999,St. Martin's Press
13064,Tourist Season,Carl Hiaasen,3.94,0446695718,9780446695718,eng,404,15459,669,5/9/2005,Warner Books (NY)
33174,Cliffs Notes on Hugo's Les Miserables,Amy L. Marsland,3.76,0822007355,9780822007357,en-GB,120,21,4,11/1/1968,Cliffs Notes
24374,Harper Lee's To Kill a Mockingbird (Bloom's Guides),Harold Bloom/Harper Lee,4.41,0791077640,9780791077641,eng,98,4687,19,6/30/2004,Chelsea House Publications
23242,The Good Ghouls' Guide to Getting Even (Beth Frasier #1),Julie Kenner,3.59,0425213919,9780425213919,eng,256,901,73,4/3/2007,Berkley Trade
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,0451528808,9780451528803,eng,304,7300,266,4/1/2003,Signet Classics
43620,The Gunslinger,Mary McBride,4.1,0373288565,9780373288564,eng,304,17,2,12/23/1994,Harlequin Historical
3595,The Mysteries of Sherlock Holmes,Arthur Conan Doyle/Paul Bachem,4.18,0448409577,9780448409573,eng,218,119,8,10/15/1996,Grosset & Dunlap
40609,La fortaleza digital,Dan Brown/Eduardo García Murillo,3.65,8489367019,9788489367012,spa,440,1078,76,2/1/2006,Umbriel
5135,Point Counter Point,Aldous Huxley,3.86,1564781313,9781564781314,eng,432,9522,210,10/1/1996,Dalkey Archive Press
19396,The Picture of Dorian Gray,Oscar Wilde/Andrew Elfenbein,4.08,0321427130,9780321427137,eng,352,123,10,10/1/2006,Pearson
9409,The Sari Shop,Rupa Bajwa,3.44,039332690X,9780393326901,eng,224,1858,153,6/17/2005,W. W. Norton  Company
16376,Full Moon (Blandings Castle  #7),P.G. Wodehouse,4.17,1585678368,9781585678365,eng,272,1860,131,11/23/2006,Harry N. Abrams
13622,Death Note  Vol. 9: Contact (Death Note  #9),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,4.21,1421506300,9781421506302,eng,193,13472,363,1/2/2007,VIZ Media LLC
5518,Cliffs Notes on Hansberry's A Raisin in the Sun,Rosetta James,3.9,0822011085,9780822011088,en-GB,80,10,2,8/15/1992,Cliffs Notes
30587,Inconceivable: A Woman's Triumph Over Despair and Statistics,Julia Indichova/Christiane Northrup,3.83,0767908201,9780767908207,eng,224,170,25,10/9/2001,Harmony
30354,A Secret Splendor,Erin St. Claire/Sandra Brown,3.66,077832284X,9780778322849,eng,280,1328,32,2/28/2006,Mira Books
37534,The Weimar Republic: The Crisis of Classical Modernity,Detlev J.K. Peukert/Richard Deveson,3.84,0809015560,9780809015566,eng,360,198,11,9/1/1993,Hill and Wang
19712,John Deere Farm Tractors: A History of the John Deere Tractor,Randy Leffingwell,4.22,0879387556,9780879387556,eng,192,22,1,9/1/1993,Motorbooks International
4591,Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,4.04,0060894083,9780060894085,eng,344,20695,714,5/30/2006,Harper Perennial
5412,The Stand: Das letzte Gefecht,Stephen King/Joachim Körber,4.34,3404134117,9783404134113,ger,1227,256,16,9/1/2003,Bastei Lübbe
11655,The Counterlife,Philip Roth,3.91,0679749047,9780679749042,eng,336,3192,195,8/6/1996,Vintage
1328,Phaedrus,Plato/C.J. Rowe,3.92,0140449744,9780140449747,eng,176,236,22,8/25/2005,Penguin Classics
31833,Star Wars and Philosophy: More Powerful than You Can Possibly Imagine,Kevin S. Decker/Jason T. Eberl/William Irwin/George Lucas/William O. Stephens/Walter Ritoku Robinson/Richard H. Dees/Judith A. Barad/Elizabeth F. Cooke/Richard Hanley/Jerold J. Abrams/Robert Arp/Jan-Erik Jones,4.05,0812695836,9780812695830,eng,227,1774,35,3/23/2005,Open Court
12528,An American Childhood,Annie Dillard,3.91,0060915188,9780060915186,eng,255,7102,604,10/15/2013,Harper Perennial
10029,The Philosophy of Jean-Paul Sartre,Jean-Paul Sartre,3.89,1400076323,9781400076321,eng,512,190,8,5/27/2003,Vintage
15598,Heart & Hands: A Midwife's Guide to Pregnancy & Birth,Elizabeth  Davis/Suzanne Arms,4.37,1587612216,9781587612213,eng,312,875,43,11/1/2004,Celestial Arts
3801,China Court: The Hours of a Country House,Rumer Godden,3.97,0688117228,9780688117221,eng,358,516,77,12/31/1993,William Morrow & Company
12249,The New Testament,Richmond Lattimore,4.32,0865475245,9780865475243,eng,608,109,23,10/30/1997,North Point Press
18016,Mulliner Nights (Mr. Mulliner  #3),P.G. Wodehouse,4.11,1400079616,9781400079612,eng,240,1174,75,4/12/2005,Vintage
41089,Modern Classics of Science Fiction,Gardner Dozois/Damon Knight/R.A. Lafferty/Samuel R. Delany/Brian W. Aldiss/Gene Wolfe/Joanna Russ/James Tiptree Jr./Ursula K. Le Guin/Edward Bryant/Howard Waldrop/Jack Dann/L. Sprague de Camp/Lucius Shepard/Pat Cadigan/John Kessel/William Gibson/Connie Willis/Michael Swanwick/Bruce Sterling/Theodore Sturgeon/Richard McKenna/Cordwainer Smith/Jack Vance/Edgar Pangborn/Keith Roberts/Roger Zelazny,4.17,0312088477,9780312088477,eng,672,91,6,1/15/1993,St. Martin's Griffin
28416,The Conquest of Plassans (Les Rougon-Macquart  #4),Émile Zola/Ernest Alfred Vizetelly,3.9,1595690484,9781595690487,fre,320,50,9,11/7/2005,MONDIAL
22284,Diary,Chuck Palahniuk,3.61,1400032814,9781400032815,eng,262,65139,2120,9/14/2004,Anchor
12419,A Calendar of Wisdom: Daily Thoughts to Nourish the Soul,Leo Tolstoy/Peter Sekirin,4.07,0684837935,9780684837932,eng,384,502,43,10/14/1997,Scribner
26229,Robert Van Gulik: His Life His Work,Janwillem van de Wetering/Arthur P. Yin,3.57,156947124X,9781569471241,eng,149,39,5,7/1/1998,Soho Press
31260,The Sigma Protocol,Robert Ludlum,3.8,0312982518,9780312982515,eng,662,9567,252,10/13/2002,St. Martin's Paperbacks
16734,Der Gesang Des Meeres. Beach Music,Pat Conroy,4.15,340412801X,9783404128013,ger,894,7,2,4/1/1998,Lübbe
826,The Big U,Neal Stephenson,3.25,0380816032,9780380816033,en-US,308,4657,223,2/6/2001,William Morrow Paperbacks
37187,The Tiger Rising,Kate DiCamillo,3.82,0763618985,9780763618988,eng,128,19133,2279,7/1/2002,Candlewick Press
37734,Wifey / Smart Women,Judy Blume,3.68,0743437578,9780743437578,eng,560,376,20,10/2/2001,Pocket Books
11648,Everyman,Philip Roth,3.58,061873516X,9780618735167,en-US,182,821,131,5/9/2006,Houghton Mifflin
43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
37954,The Last Dance (87th Precinct  #50),Ed McBain,3.69,0671025708,9780671025700,eng,336,752,57,12/1/2000,Pocket Books
31784,Nietzche and Philosophy,Gilles Deleuze/Michael Hardt,4.17,0231138768,9780231138765,eng,256,50,1,5/16/2006,Columbia University Press
13033,The Alexandria Quartet  (The Alexandria Quartet #1-4),Lawrence Durrell,4.17,0140153179,9780140153170,eng,884,10050,294,12/1/1991,Penguin Books
11697,Granta 85: Hidden Histories,Ian Jack,3.83,1929001150,9781929001156,eng,254,34,4,5/7/2004,Grove Press  Granta
13965,King Solomon's Ring,Konrad Lorenz/Marjorie Kerr Wilson,4.23,0415267471,9780415267472,eng,192,1509,80,8/11/2002,Routledge
41885,Sense and Sensibility,Jane Austen,4.07,1593081251,9781593081256,eng,325,1278,153,7/25/2004,Barnes & Noble
26638,Kokopelli: The Magic  Mirth  and Mischief of an Ancient Symbol,Dennis Slifer/R. Carlos Nakai,3.69,1423601742,9781423601746,eng,240,19,4,4/5/2007,Gibbs Smith
33292,How to Win Friends and Influence People for Teen Girls,Donna Dale Carnegie,3.96,0743272773,9780743272773,eng,208,428,44,6/2/2005,Simon  Schuster
11605,Riding the Bullet,Stephen King/Josh Hamilton,3.63,0743525876,9780743525879,eng,66,11649,270,5/1/2002,Simon  Schuster Audio
7244,The Poisonwood Bible,Barbara Kingsolver,4.06,0060786507,9780060786502,eng,546,613758,19846,7/5/2005,Harper Perennial Modern Classics
29019,The Twelve Terrors of Christmas,John Updike/Edward Gorey,4.23,0764937103,9780764937101,eng,32,2552,103,5/1/2006,Pomegranate Communications
5062,Jackdaws,Ken Follett,3.97,0451219597,9780451219596,eng,416,20892,953,12/5/2006,NAL
22966,Lidia's Family Table,Lidia Matticchio Bastianich/David Nussbaum/Christopher Hirsheimer,4.22,1400040353,9781400040353,eng,448,532,23,11/23/2004,Knopf Publishing Group
18753,The World's Last Night: And Other Essays,C.S. Lewis,4.18,0156027712,9780156027717,en-GB,132,1097,117,11/4/2002,Mariner Books
6340,Homeric Moments: Clues to Delight in Reading the Odyssey and the Iliad,Eva Brann,4.3,0967967570,9780967967578,eng,326,118,13,9/1/2002,Paul Dry Books
27333,Silent Spring,Rachel Carson/Linda Lear/Edward O. Wilson,3.97,0618249060,9780618249060,eng,378,30281,1694,10/22/2002,Mariner Books
30262,The Good  the Bad  and the Undead (The Hollows  #2),Kim Harrison,4.26,0060572973,9780060572976,eng,453,54083,1602,1/25/2005,HarperTorch
2388,Moby-Dick,Jan Needle/Patrick Benson/Herman Melville,3.71,0763630187,9780763630188,eng,192,161,16,9/12/2006,Candlewick Press
18956,Homicide: A Year on the Killing Streets,David Simon,4.38,0805080759,9780805080759,eng,646,12071,837,8/22/2006,Holt McDougal
10792,The Sword of Straw (The Sangreal Trilogy  #2),Amanda Hemingway,3.81,0345460804,9780345460806,eng,336,138,8,3/28/2006,Del Rey
32588,Victoria,Knut Hamsun/Oliver Stallybrass,3.74,1557131775,9781557131775,eng,155,47,7,10/1/1994,Sun & Moon Press
38333,Black Hole,Charles Burns,3.84,037542380X,9780375423802,eng,368,38261,2037,10/18/2005,Pantheon
9838,The Bookseller of Kabul,Åsne Seierstad/Ingrid Christopherson,3.77,0316159417,9780316159418,en-US,288,34941,2473,10/26/2004,Little  Brown and Company
40005,Hannibal's Children,John Maddox Roberts,3.68,0441010385,9780441010387,eng,359,204,18,3/25/2003,Berkley Publishing Group
3967,La Chute d'Hypérion II,Dan Simmons/Guy Abadia,4.2,2266111574,9782266111577,fre,347,21,1,12/26/2000,Pocket
26051,True Betrayals / Montana Sky / Sanctuary,Nora Roberts,4.4,0399147314,9780399147319,eng,852,667,5,6/4/2001,Putnam Adult
22541,Just Visiting This Planet: Merlin Answers More Questions about Everything Under the Sun  Moon  and Stars,Neil deGrasse Tyson/Stephen Tyson,4.17,0385488378,9780385488372,eng,352,86,4,7/13/1998,Main Street Books
9030,The Devil in the White City: Murder  Magic and Madness at the Fair that Changed America,Erik Larson,3.99,0553813536,9780553813531,eng,496,1278,207,4/1/2004,Bantam Press
12586,The Eye of the Story: Selected Essays and Reviews,Eudora Welty,4.06,0679730044,9780679730040,eng,368,102,11,8/29/1990,Vintage
36317,The Transition of H. P. Lovecraft: The Road to Madness,H.P. Lovecraft/Barbara Hambly,4.3,0345384229,9780345384225,eng,379,9518,93,10/1/1996,Del Rey
27689,Mary Stewart's Merlin Trilogy (Arthurian Saga  #1-3),Mary  Stewart,4.39,0688003478,9780688003470,eng,928,4146,175,9/7/2004,Harper Voyager
42741,Yeats Is Dead,Roddy Doyle/Frank McCourt/Conor McPherson/Gene Kerrigan/Gina Moxley/Marian Keyes/Pauline McLynn/Tom Humphries/Joseph O'Connor/Anthony Cronin/Owen O'Neill/Hugo Hamilton/Charlie O'Neill/Gerard Stembridge/Donal O'Kelly,3.4,0099422344,9780099422341,eng,298,34,4,6/6/2002,Vintage
935,Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,074343059X,9780743430593,eng,334,1556,158,5/6/2003,Pocket Books
15195,The Complete Maus,Art Spiegelman,4.55,0141014083,9780141014081,eng,296,111475,5966,10/2/2003,Penguin Books
39418,Standard Catalog of Smith & Wesson,Jim Supica/Richard Nahas,4.44,089689293X,9780896892934,en-US,432,38,1,1/1/2007,Gun Digest Books
19078,Madame Bovary (Critical Editions),Gustave Flaubert/Margaret Cohen/Eleanor Marx,3.67,0393979172,9780393979176,en-US,576,401,33,12/19/2004,W.W. Norton & Company
30244,The Killing Dance (Anita Blake  Vampire Hunter  #6),Laurell K. Hamilton,4.13,0425209067,9780425209066,en-US,368,59524,946,4/4/2006,Berkley Hardcover
1439,Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,4.29,0879232153,9780879232153,eng,450,489,57,3/24/2015,Nonpareil Books
18757,Last Night: Stories,James Salter,3.9,1400078415,9781400078417,eng,132,1825,186,3/14/2006,Vintage
22408,Invisible Residents: The Reality of Underwater UFOs,Ivan T. Sanderson/David Hatcher Childress,3.73,1931882207,9781931882200,en-US,100,62,7,9/15/2005,Adventures Unlimited Press
28239,Dark Star Safari: Overland from Cairo to Cape Town,Paul Theroux,3.96,0618446877,9780618446872,eng,485,11216,724,4/5/2004,Mariner Books
3529,The World's First Love: Mary  Mother of God,Fulton J. Sheen,4.59,0898705975,8987059752,en-US,276,641,63,9/1/1996,Ignatius Press
7197,The Knight of Maison-Rouge,Alexandre Dumas/Julie Rose/Lorenzo Carcaterra,3.89,0812969634,9780812969634,eng,448,1172,70,9/14/2004,Modern Library
23717,Rumic World Trilogy  Volume 3 (Rumic World Trilogy  #3),Rumiko Takahashi,3.88,1569312060,9781569312063,eng,192,69,1,11/5/1997,Viz Media
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9780679439202,eng,100,3015,217,6/14/2011,Knopf
7579,Awakening the Buddha Within: Eight Steps to Enlightenment,Surya  Das,4.19,0767901576,9780767901574,en-US,432,12034,285,6/15/1998,Harmony
32807,Trojan Odyssey (Dirk Pitt  #17),Clive Cussler,3.94,0425199320,9780425199329,eng,463,15118,318,12/1/2004,G.P. Putnam's Sons
42899,Dark Lover (Black Dagger Brotherhood  #1),J.R. Ward,4.2,0451216954,9780451216953,eng,393,259511,10475,9/6/2005,Penguin Group (USA)
35451,The Wildlife of Star Wars,Terryl Whitlatch/Bob Carrau,4.42,0811828697,9780811828697,eng,173,417,27,9/1/2001,Chronicle Books
2373,The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,0451188454,9780451188458,eng,528,140014,1753,4/1/1998,Signet Book
17230,Sirens and Sea Monsters (Tales from the Odyssey #3),Mary Pope Osborne/Homer/Troy Howell,4.04,0786809302,9780786809301,en-US,112,371,22,8/18/2003,Disney-Hyperion
7797,Ten Apples Up On Top!,Theo LeSieg/Dr. Seuss/Roy McKie,4.12,0007169973,9780007169979,eng,62,31251,494,8/4/2003,HarperCollinsChildren’sBooks
42802,First  Last and Always (Sweet Dreams  #96),Barbara Conklin,3.76,0553251791,9780553251791,eng,160,65,2,9/1/1985,Bantam Books
29404,Your Child and Jesus: A Family Activity Book,Rick Osborne/Kevin Miller,0.0,080242855X,9780802428554,eng,112,0,0,9/13/1999,Moody Publishers
23439,Die Farbe von Wasser,James   McBride,4.09,342661278X,9783426612781,ger,317,38,1,2/1/2001,Droemer Knaur
30965,Grand Theft Auto: San Andreas Official Strategy Guide,Rick Barba,4.04,0744004292,9780744004298,eng,272,73,5,10/25/2004,BradyGames
9349,The Real Jimmy Carter: How Our Worst Ex-President Undermines American Foreign Policy  Coddles Dictators and Created the Party of Clinton and Kerry,Steven F. Hayward,3.32,0895260905,9780895260901,eng,272,33,4,3/19/2004,Regnery Publishing
15783,The Sideways Guide to Wine and Life,Alexander Payne/Jim     Taylor,4.38,1557046867,9781557046864,eng,64,8,0,5/25/2005,Newmarket Press
31582,The Selected Poems of Federico García Lorca,Federico García Lorca,4.32,0811200914,9780811200912,mul,180,236,23,6/1/1955,New Directions Publishing Corporation
37238,In the Land of the Lawn Weenies and Other Warped and Creepy Tales (Weenies series  #1),David Lubar,3.96,0765345706,9780765345707,en-US,256,720,69,6/16/2003,Starscape
26586,The Land of the Dead (Tales from the Odyssey  #2),Mary Pope Osborne/Homer/Troy Howell,3.97,0786809299,9780786809295,eng,112,400,32,9/1/2003,Little  Brown Books for Young Readers
7609,Nacho and Lolita,Pam Muñoz Ryan/Claudia Rueda,3.97,0439269687,9780439269681,eng,40,34,5,10/1/2005,Scholastic Press
1852,The Call of the Wild,Jack London/Avi,3.86,0439227143,9780439227148,eng,172,274649,7203,1/1/2001,Scholastic
28796,The Song of Rhiannon,Evangeline Walton,4.02,0020264739,9780020264736,eng,208,255,12,9/1/1992,Collier Books
11226,One Flew over the Cuckoo's Nest,Ken Kesey,4.2,0451143426,9780451143426,eng,272,67,5,2/1/1963,Signet
6668,The Enormous Crocodile,Roald Dahl/Quentin Blake,3.78,0142302457,9780142302453,eng,32,13986,525,3/24/2003,Puffin
37625,Wide Sargasso Sea: A Reader's Guide to Essential Criticism,Carl Plasa,3.63,184046268X,9781840462685,eng,194,166,10,9/6/2002,Palgrave Macmillan
21932,Hot Springs (Earl Swagger  #1),Stephen Hunter/Jay O. Sanders,4.13,0743500261,9780743500265,eng,0,3,0,6/1/2000,Simon & Schuster Audio
17550,Moods,Louisa May Alcott,3.4,0813516706,9780813516707,eng,538,314,48,1/1/1991,Rutgers University Press
31100,To Have and to Hold,Jane Green,3.63,0767912276,9780767912273,eng,352,22864,445,3/1/2005,Broadway Books
11000,Eight Mindful Steps to Happiness: Walking the Buddha's Path,Henepola Gunaratana,4.3,0861711769,9780861711765,eng,288,1103,50,6/15/2001,Wisdom Publications
13650,The Wave in the Mind: Talks and Essays on the Writer  the Reader and the Imagination,Ursula K. Le Guin,4.3,1590300068,9781590300060,eng,314,1044,164,2/17/2004,Shambhala
34662,Shattered Air: A True Account of Catastrophe and Courage on Yosemite's Half Dome,Bob Madgic/William L. Crary/Adrian Esteban,3.77,1580801420,9781580801423,en-US,264,501,76,2/6/2007,Burford Books
7531,The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life,Laurie Notaro,3.88,0375760911,9780375760914,en-GB,225,16133,1099,7/2/2002,Villard
7958,Sarah (Women of Genesis  #1),Orson Scott Card,3.88,0765341174,9780765341174,eng,341,9828,1004,9/17/2001,Forge
11519,Les Fils des ténèbres,Dan Simmons,3.71,2226074740,9782226074744,fre,464,6,0,10/1/1994,Albin Michel
18671,The Botany of Desire: A Plant's Eye View of the World,Michael Pollan,4.06,0747563004,9780747563006,en-US,291,110,11,3/1/2006,Bloomsbury Publishing PLC
19181,Beowulf: A New Telling,Robert Nye,3.5,0440905605,9780440905608,eng,94,1690,326,3/15/1982,Dell
37516,Spinoza: A Life,Steven Nadler,4.1,0521002931,9780521002936,eng,422,234,23,4/23/2001,Cambridge University Press
18029,Ring for Jeeves (Jeeves  #10),P.G. Wodehouse,4.01,1585675245,9781585675241,eng,208,2785,183,4/12/2004,Harry N. Abrams
43796,The Vampire Companion,Katherine Ramsland/Anne Rice,3.94,0345397398,9780345397393,en-US,608,4829,25,8/1/1995,Ballantine Books
27988,Citizen X: Killer Department,Robert Cullen,4.01,0804111642,9780804111645,eng,258,94,10,10/4/1993,Ivy Books
29153,Yakitate!! Japan  Volume 4,Takashi Hashiguchi,4.0,1421509210,9781421509211,en-US,208,274,8,3/13/2007,VIZ Media LLC
6157,The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook),Jean Houston,3.95,0874778719,9780874778717,en-US,272,18,2,6/30/1997,TarcherPerigee
32501,Echo Park (Harry Bosch  #12; Harry Bosch Universe  #16),Michael Connelly,4.12,0316734950,9780316734950,eng,405,36333,1511,10/9/2006,Little  Brown & Company
24300,Poppy,Avi,3.96,0689837186,9780689837180,eng,163,6894,501,5/3/2005,Scholastic
30288,Laurell K. Hamilton's Anita Blake  Vampire Hunter: Guilty Pleasures vol 1,Laurell K. Hamilton/Stacie Ritchie/Jessica Ruffner/Brett Booth,4.17,0785127232,9780785127239,eng,168,7302,250,7/18/2007,Marvel
42758,The Fantastic Vampire: Studies in the Children of the Night: Selected Essays from the Eighteenth International Conference on the Fantastic in the Arts,James Craig Holte,0.0,0313309337,9780313309335,eng,176,0,0,3/30/2002,Greenwood Press
38874,The Sling and the Stone: On War in the 21st Century,Thomas X. Hammes,3.89,0760324077,9780760324073,eng,336,698,36,2/17/2006,Zenith Press
9844,Prep : A Novel,Curtis Sittenfeld,3.38,081297235X,9780812972351,eng,420,55304,4450,11/22/2005,Random House Trade Paperbacks
32075,The Woman Who Rode Away and Other Stories,D.H. Lawrence/Christa Jansohn,3.49,0521294304,9780521294300,eng,556,27,1,8/8/2002,Cambridge University Press
41329,The Red Tent,Anita Diamant,4.17,0312427298,9780312427290,en-US,321,5390,614,8/21/2007,Picador
5337,Little Dorrit,Charles Dickens/Hablot Knight Browne/David Gates,3.99,037575914X,9780375759147,eng,1347,291,33,3/12/2002,Modern Library
23643,Faërie,J.R.R. Tolkien/Francis Ledoux,3.54,2266102710,9782266102711,fre,217,89,2,11/20/2003,Pocket
40536,The Complete Idiot's Guide to Business Plans,Gwen Moran,3.32,1592574009,9781592574001,eng,314,16,4,10/4/2005,Alpha Books
